Player Name,Matched Name,Elo
A. Bublik,Alexander Bublik,1781.8
A. Cazaux,Arthur Cazaux,1540
A. Davidovich,Alejandro Davidovich Fokina,1827.1
A. Fils,Arthur Fils,1932.3
A. Kovacevic,Aleksandar Kovacevic,1488.2
A. Michelsen,Alex Michelsen,1691.6
A. Muller,Alexandre Muller,1743.1
A. Popyrin,Alexei Popyrin,1761.5
A. Ramos-Vinolas,,1526
A. Rinderknech,Arthur Rinderknech,1632.3
A. Rublev,Andrey Rublev,1843.9
A. Shevchenko,Alexander Shevchenko,1588.7
A. Tabilo,Alejandro Tabilo,1714.5
A. Vukic,Aleksandar Vukic,1581.9
A. Walton,Adam Walton,1449.2
A. Zverev,Alexander Zverev,2014.1
A. de,Alexander Zverev,2014.1
B. Bonzi,Benjamin Bonzi,1613.9
B. Hassan,Benjamin Hassan,1537.9
B. Nakashima,Brandon Nakashima,1728.3
B. Shelton,Ben Shelton,1798.4
B. Van,Giovanni Mpetshi Perricard,1698.2
C. Alcaraz,Carlos Alcaraz,2165.1
C. Moutet,Corentin Moutet,1708.5
C. Norrie,Cameron Norrie,1745.8
C. O'Connell,,1677.3
C. Ruud,Casper Ruud,1992.4
C. Tabur,Clement Tabur,1419.7
C. Ugo,Ugo Humbert,1745
D. Altmaier,Daniel Altmaier,1700.7
D. Dzumhur,Damir Dzumhur,1667
D. Lajovic,Dusan Lajovic,1706.8
D. Medvedev,Daniil Medvedev,1927.5
D. Shapovalov,Denis Shapovalov,1747.2
E. Moller,Elmer Moller,1693.1
E. Nava,Emilio Nava,1647.4
E. Quinn,Ethan Quinn,1585.5
E. Ruusuvuori,Emil Ruusuvuori,1604.4
F. Auger-Aliassime,,1790.5
F. Cerundolo,Francisco Cerundolo,1915
F. Cobolli,Flavio Cobolli,1736.6
F. Comesana,Francisco Comesana,1714.4
F. Marozsan,Fabian Marozsan,1753.6
F. Misolic,Filip Misolic,1645
F. Passaro,Francesco Passaro,1686.7
F. Tiafoe,Frances Tiafoe,1757.5
G. Diallo,Gabriel Diallo,1710.9
G. Dimitrov,Grigor Dimitrov,1887.6
G. Monfils,Gael Monfils,1753.6
G. Mpetshi,Giovanni Mpetshi Perricard,1698.2
G. Zeppieri,Giulio Zeppieri,1549.2
H. Dellien,Hugo Dellien,1617.3
H. Gaston,Hugo Gaston,1636.7
H. Hurkacz,Hubert Hurkacz,1872.5
H. Medjedovic,Hamad Medjedovic,1719.4
H. Rocha,Henrique Rocha,1429.9
H. Rune,Holger Rune,1906.7
J. Brooksby,Jenson Brooksby,1746.6
J. Cerundolo,Francisco Cerundolo,1915
J. De,Alexander Zverev,2014.1
J. Draper,Jack Draper,1957
J. Duckworth,James Duckworth,1540.7
J. Faria,Jaime Faria,1606.8
J. Fearnley,Jacob Fearnley,1729.9
J. Fonseca,Joao Fonseca,1776.5
J. Lehecka,Jiri Lehecka,1745.1
J. Mensik,Jakub Mensik,1831.3
J. Munar,Jaume Munar,1719.4
J. Sinner,Jannik Sinner,2090.4
J. Struff,Jan Lennard Struff,1722.7
J. Thompson,Jordan Thompson,1660.1
K. Jacquet,Kyrian Jacquet,1554.5
K. Khachanov,Karen Khachanov,1850.7
K. Majchrzak,Kamil Majchrzak,1742.7
L. Darderi,Luciano Darderi,1736.2
L. Djere,Laslo Djere,1805.7
L. Harris,Lloyd Harris,1516.7
L. Musetti,Lorenzo Musetti,1997.7
L. Nardi,Luca Nardi,1617.8
L. Sonego,Lorenzo Sonego,1685.9
L. Tien,Learner Tien,1547.9
M. Arnaldi,Matteo Arnaldi,1789.7
M. Bellucci,Mattia Bellucci,1535.9
M. Cilic,Marin Cilic,1731.3
M. Fucsovics,Marton Fucsovics,1719.6
M. Gigante,Matteo Gigante,1580
M. Giron,Marcos Giron,1710.9
M. Kecmanovic,Miomir Kecmanovic,1727.3
M. Marterer,Maximilian Marterer,1580.4
M. McDonald,Mackenzie Mcdonald,1549.5
M. Navone,Mariano Navone,1725.8
N. Basilashvili,Nikoloz Basilashvili,1612.1
N. Borges,Nuno Borges,1754.4
N. Djokovic,Novak Djokovic,2060.2
N. Jarry,Nicolas Jarry,1708.8
P. Carreno,Pablo Carreno Busta,1721.4
P. Herbert,Pierre Hugues Herbert,1571.6
P. Llamas,,1500
P. Martinez,Pedro Martinez,1679.4
Q. Halys,Quentin Halys,1653.7
R. Bautista,Roberto Bautista Agut,1732.9
R. Carballes,Roberto Carballes Baena,1704
R. Gasquet,Richard Gasquet,1609.4
R. Hijikata,Rinky Hijikata,1503.2
R. Opelka,Reilly Opelka,1705.7
R. Safiullin,Roman Safiullin,1703.2
